,ID,floor_area_sqm,mean_resale_price,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa,geometry,Closest distance to a hotel,Closest distance to a park,Traffic lights within 500 meters,Parking lots within 500 meters
1034,block 325 HOUGANG,118.9090909090909,422507.1363636364,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
1035,block 325 JURONG EAST,147.2,588085.8423423423,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
1036,block 325 SEMBAWANG,113.7,390845.00701754383,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
1037,block 325 YISHUN,145.77272727272728,531507.5777511962,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
1038,block 326 CLEMENTI,69.22222222222223,354990.9183604336,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
1039,block 326 HOUGANG,104.0,374108.71794871794,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
1040,block 326 TAMPINES,148.25,601310.8333333334,11314.499537914988,11314.499537914988,POINT (103.93169459451332 1.35823695),3404.4861999485365,1427.6130152207304,0,588
1041,block 326 WOODLANDS,151.77777777777777,527833.5681818181,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
1042,block 326 YISHUN,145.75,523671.5368217055,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
1043,block 327 HOUGANG,71.33333333333333,298316.5277777778,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
1044,block 327 SEMBAWANG,108.33333333333331,396539.6072859745,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
1045,block 327 TAMPINES,147.66666666666666,615165.8916666667,11314.499537914988,11314.499537914988,POINT (103.93169459451332 1.35823695),3404.4861999485365,1427.6130152207304,0,588
1046,block 327 YISHUN,88.0,308075.4185185185,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
1047,block 328 ANG MO KIO,82.44444444444444,377037.9867149759,11646.10442013269,11646.10442013269,POINT (103.84368975 1.3885722999999999),1317.7252497262375,560.6731434629427,1,15
1048,block 328 BUKIT BATOK,89.0,258613.63636363635,15403.994540802376,15403.994540802376,POINT (103.75266284937962 1.3758846999999998),5122.985054434597,405.18110235112067,1,0
1049,block 328 HOUGANG,79.33333333333333,311479.177994228,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
1050,block 328 TAMPINES,147.2,602672.0515151515,11314.499537914988,11314.499537914988,POINT (103.93169459451332 1.35823695),3404.4861999485365,1427.6130152207304,0,588
1051,block 328 YISHUN,144.22222222222223,539752.6495726496,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
1052,block 33 GEYLANG,80.64285714285714,521151.3481292517,6480.1666132449545,6480.1666132449545,POINT (103.89459637858039 1.3325653499999999),1209.8330121330523,1421.4281268603972,1,233
1053,block 33 KALLANG/WHAMPOA,55.625,231178.045624152,4502.24597112861,4502.24597112861,POINT (103.8663299 1.3250618),1443.4687309170426,149.38617702407808,0,142
1054,block 33 MARINE PARADE,68.52,405650.6620910973,5254.445630521953,5254.445630521953,POINT (103.904665 1.302774),208.02567314987863,451.64683706976643,1,144
1055,block 33 WOODLANDS,98.0,297544.96310719405,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
1056,block 330 SEMBAWANG,111.1818181818182,393546.30710085935,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
1057,block 330 YISHUN,109.75,372830.7391304348,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
1058,block 333 ANG MO KIO,72.8,307428.25,11646.10442013269,11646.10442013269,POINT (103.84368975 1.3885722999999999),1317.7252497262375,560.6731434629427,1,15
1059,block 333 BUKIT BATOK,69.38461538461539,278079.48992673995,15403.994540802376,15403.994540802376,POINT (103.75266284937962 1.3758846999999998),5122.985054434597,405.18110235112067,1,0
1060,block 334 CLEMENTI,71.0,348182.3947876448,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
1061,block 334 GEYLANG,146.85714285714286,586968.1904761905,6480.1666132449545,6480.1666132449545,POINT (103.89459637858039 1.3325653499999999),1209.8330121330523,1421.4281268603972,1,233
