ID,floor_area_sqm,mean_resale_price,geometry,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa
block 619 HOUGANG,64.28571428571429,269192.07200130913,POINT (103.88071076652449 1.34987515),7533.190369947071,7533.190369947071
block 619 WOODLANDS,92.63636363636364,323286.55634409835,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 619 YISHUN,95.2,371425.0739837399,POINT (103.8395409 1.438065),17125.649119290814,17125.649119290814
block 62 GEYLANG,94.53125,406289.5454567589,POINT (103.8870563 1.3181862),4703.10950931338,4703.10950931338
block 62 TOA PAYOH,115.08333333333333,684574.6376811594,POINT (103.8497414 1.3353906),5743.444997146924,5743.444997146924
block 620 BEDOK,56.644444444444446,245287.6082051282,POINT (103.9101817 1.3244029),7016.56940172059,7016.56940172059
block 620 BUKIT PANJANG,101.2,399582.626984127,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 620 CHOA CHU KANG,116.8125,396013.7470238095,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 620 WOODLANDS,92.45454545454545,321045.06611783465,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 621 ANG MO KIO,83.44444444444444,337630.99477124185,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 621 BUKIT BATOK,102.29411764705883,603241.7103051747,POINT (103.75266284937962 1.3758846999999998),15403.994540802376,15403.994540802376
block 621 WOODLANDS,115.08333333333333,370494.01923076925,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 622 BUKIT BATOK,106.53846153846153,632356.7071581197,POINT (103.75266284937962 1.3758846999999998),15403.994540802376,15403.994540802376
block 623 BUKIT BATOK,107.5,539869.663841808,POINT (103.75266284937962 1.3758846999999998),15403.994540802376,15403.994540802376
block 623 HOUGANG,63.9375,271112.1405555555,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 623 WOODLANDS,107.35714285714286,359100.208855472,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 624 ANG MO KIO,70.0,295481.53724053723,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 624A WOODLANDS,119.25,369216.60095137416,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 625 BUKIT PANJANG,103.84210526315789,447890.98564593296,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 625 CHOA CHU KANG,110.41666666666667,413958.68949771684,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 625B WOODLANDS,117.8,373446.1296167247,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 626 BUKIT PANJANG,101.57894736842105,462978.3790823212,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 626 CHOA CHU KANG,110.5,411050.8717627402,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 626 PASIR RIS,107.23809523809524,410607.9583333334,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 626 WOODLANDS,91.11111111111111,324100.93055555556,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 627 BUKIT PANJANG,102.62857142857143,453070.2219047619,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 627 YISHUN,89.28571428571429,342251.2005632361,POINT (103.8403992 1.4377325),17076.156583567823,17076.156583567823
block 628 HOUGANG,147.4375,565340.263888889,POINT (112.38312 30.5177958),3358327.068855709,3358327.068855709
block 628 JURONG WEST,130.0,518666.4326923077,POINT (103.7058663 1.3434392),16176.255463545087,16176.255463545087
block 628A WOODLANDS,112.6470588235294,359698.5683940243,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 629 BEDOK,147.66666666666666,631004.6959459459,POINT (103.9314714 1.3256702),9057.217152985673,9057.217152985673
block 629 BUKIT PANJANG,101.0754716981132,446113.7947874976,POINT (103.7718658 1.377921),14305.71568963065,14305.71568963065
block 630 HOUGANG,95.4,376047.1587405502,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 630 WOODLANDS,111.5,353850.0373792874,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 631 ANG MO KIO,69.96551724137932,306937.41628274927,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 631 BEDOK,73.88888888888889,291099.1746031746,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 631 HOUGANG,63.857142857142854,269774.70124495757,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 632 ANG MO KIO,98.0,312088.3333333334,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 632 CHOA CHU KANG,127.0,515898.5688405797,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 633 ANG MO KIO,79.61111111111111,334337.661038961,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 633 HOUGANG,148.15,580054.7075268817,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 633 PASIR RIS,109.05,398522.14078844653,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 633 WOODLANDS,107.61538461538461,361905.18589743593,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 634 PASIR RIS,107.6,393556.6048387097,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 635 CHOA CHU KANG,113.0,467763.6018518519,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 635 HOUGANG,90.77777777777777,350880.45862884156,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 636 CENTRAL AREA,72.33333333333333,362881.21212121216,POINT (-116.9736504 50.2346211),13109175.688297465,13109175.688297465
block 636 CHOA CHU KANG,113.0,432777.76276595745,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 636 WOODLANDS,141.57142857142858,542109.8164596274,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 637 ANG MO KIO,79.34782608695652,342618.3271221532,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 637 CENTRAL AREA,90.0,395762.25,POINT (-116.9736504 50.2346211),13109175.688297465,13109175.688297465
block 637 CHOA CHU KANG,113.0,429988.54393939395,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 637 WOODLANDS,141.5,534389.7752525252,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 640 CHOA CHU KANG,107.5,517385.38766980154,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 640 PASIR RIS,105.84615384615384,393345.34703801945,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 641 CENTRAL AREA,106.0,507534.94566353183,POINT (-116.9736504 50.2346211),13109175.688297465,13109175.688297465
block 642 CENTRAL AREA,112.33333333333333,588768.5185185185,POINT (-116.9736504 50.2346211),13109175.688297465,13109175.688297465
block 642 HOUGANG,65.0625,260335.91717171718,POINT (112.38312 30.5177958),3358327.068855709,3358327.068855709
block 642 JURONG WEST,116.33333333333333,409980.11275314726,POINT (103.7058663 1.3434392),16176.255463545087,16176.255463545087
